country,value
Algeria,1
Angola,1
Argentina,4
Australia,39
Austria,9
Belgium,2
Brazil,47
Canada,45
Chile,8
China,399
Colombia,3
Cyprus,3
Czechia,8
Denmark,8
Egypt,6
Eswatini,1
Finland,6
France,44
Georgia,1
Germany,114
Greece,3
Guernsey,1
Hong Kong,64
Hungary,2
Iceland,1
India,110
Indonesia,15
Ireland,9
Israel,21
Italy,39
Japan,33
Kazakhstan,4
Kuwait,1
Lebanon,6
Liechtenstein,1
Macao,1
Malaysia,13
Mexico,14
Monaco,4
Morocco,2
Nepal,1
Netherlands,13
New Zealand,2
Nigeria,3
Norway,12
Oman,1
Peru,4
Philippines,15
Poland,6
Portugal,1
Qatar,1
Romania,2
Russia,100
Singapore,26
Slovakia,2
South Africa,4
South Korea,31
Spain,25
St. Kitts and Nevis,2
Sweden,32
Switzerland,36
Taiwan,40
Tanzania,1
Thailand,30
Turkey,24
Ukraine,7
United Arab Emirates,4
United Kingdom,51
United States,637
Venezuela,1
Vietnam,6
Zimbabwe,1
