country,value
Algeria,3
Angola,3
Argentina,11
Australia,79
Austria,27
Belgium,5
Brazil,153
Canada,117
Chile,34
China,697
Colombia,16
Cyprus,14
Czech Republic,22
Denmark,36
Egypt,14
Eswatini,3
Finland,10
France,228
Georgia,4
Germany,423
Greece,5
Guernsey,1
Hong Kong,246
Iceland,1
India,284
Indonesia,44
Ireland,31
Israel,47
Italy,134
Japan,103
Kazakhstan,9
Kuwait,4
Lebanon,7
Liechtenstein,2
Macao,1
Malaysia,41
Mexico,110
Monaco,5
Morocco,3
Nepal,1
Netherlands,27
New Zealand,10
Nigeria,18
Norway,27
Oman,6
Peru,6
Philippines,40
Poland,8
Portugal,9
Qatar,3
Romania,1
Russia,356
Saudi Arabia,38
Singapore,51
Slovakia,1
South Africa,24
South Korea,78
Spain,115
St. Kitts and Nevis,4
Sweden,110
Switzerland,92
Taiwan,66
Tanzania,1
Thailand,55
Turkey,39
Ukraine,9
United Arab Emirates,25
United Kingdom,143
United States,2532
Venezuela,4
Vietnam,3
