country,value
Algeria,1
Angola,1
Argentina,9
Australia,43
Austria,8
Belgium,2
Brazil,42
Canada,46
Chile,11
China,373
Colombia,3
Cyprus,7
Czech Republic,6
Denmark,10
Egypt,6
Eswatini,1
Finland,6
France,40
Georgia,1
Germany,123
Greece,4
Guernsey,1
Hong Kong,67
Hungary,1
Iceland,1
India,119
Indonesia,20
Ireland,9
Israel,20
Italy,43
Japan,35
Kazakhstan,5
Kuwait,4
Lebanon,7
Liechtenstein,1
Macao,1
Malaysia,14
Mexico,16
Monaco,4
Morocco,2
Nepal,1
Netherlands,9
New Zealand,2
Nigeria,3
Norway,15
Oman,2
Peru,6
Philippines,12
Poland,6
Portugal,1
Qatar,2
Romania,1
Russia,101
Singapore,22
Slovakia,1
South Africa,5
South Korea,44
Spain,29
St. Kitts and Nevis,3
Sweden,32
Switzerland,36
Taiwan,35
Tanzania,1
Thailand,30
Turkey,36
Ukraine,7
United Arab Emirates,7
United Kingdom,54
United States,585
Venezuela,2
Vietnam,4
Zimbabwe,1
