country,value
Algeria,3
Angola,3
Argentina,8
Australia,51
Austria,27
Belgium,6
Brazil,120
Canada,100
Chile,26
China,504
Colombia,12
Cyprus,12
Czech Republic,15
Denmark,27
Egypt,11
Eswatini,3
Finland,9
France,197
Georgia,4
Germany,419
Greece,4
Guernsey,1
Hong Kong,215
Iceland,1
India,221
Indonesia,43
Ireland,27
Israel,42
Italy,136
Japan,77
Kazakhstan,8
Lebanon,10
Liechtenstein,2
Malaysia,36
Mexico,95
Monaco,5
Morocco,2
Nepal,1
Netherlands,24
New Zealand,8
Nigeria,28
Norway,22
Oman,1
Peru,3
Philippines,38
Poland,6
Portugal,7
Qatar,2
Romania,1
Russia,255
Saudi Arabia,32
Singapore,39
South Africa,19
South Korea,64
Spain,107
Sweden,101
Switzerland,80
Taiwan,46
Tanzania,1
Thailand,38
Turkey,38
Ukraine,6
United Arab Emirates,17
United Kingdom,140
United States,2189
Venezuela,6
Vietnam,1
