country,value
Algeria,5
Argentina,10
Australia,192
Austria,57
Barbados,1
Belgium,11
Belize,3
Brazil,160
Bulgaria,4
Canada,288
Chile,34
China,1742
Colombia,22
Cyprus,19
Czechia,44
Denmark,55
Egypt,16
Estonia,1
Eswatini,5
Finland,10
France,531
Georgia,5
Germany,551
Greece,13
Guernsey,2
Hong Kong,357
Hungary,2
Iceland,3
India,680
Indonesia,104
Ireland,50
Israel,102
Italy,172
Japan,141
Kazakhstan,15
Lebanon,11
Liechtenstein,2
Macao,1
Malaysia,55
Mexico,154
Monaco,14
Morocco,3
Nepal,1
Netherlands,33
New Zealand,12
Nigeria,27
Norway,36
Oman,2
Peru,7
Philippines,37
Poland,18
Portugal,4
Qatar,3
Romania,7
Russia,269
Singapore,96
Slovakia,2
South Africa,22
South Korea,93
Spain,105
St. Kitts and Nevis,1
Sweden,146
Switzerland,162
Taiwan,129
Tanzania,1
Thailand,85
Turkey,31
Ukraine,10
United Arab Emirates,21
United Kingdom,181
United States,4393
Uruguay,2
Venezuela,3
Vietnam,18
Zimbabwe,3
